iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  2.057296e+10    0.00e+00    4.57e+09   0.00e+00   0.00e+00  1.00e+04        0    1.76e-03    1.85e-03
   1  1.897117e+09    1.87e+10    6.77e+08   1.42e+03   9.08e-01  2.20e+04        1    1.90e-03    3.81e-03
   2  2.355177e+08    1.66e+09    2.21e+08   4.57e+02   8.77e-01  3.85e+04        1    1.79e-03    5.63e-03
   3  1.620514e+08    7.35e+07    1.85e+08   1.94e+02   3.21e-01  3.68e+04        1    1.77e-03    7.43e-03
   4  3.597642e+07    1.26e+08    1.14e+08   1.37e+02   7.92e-01  4.60e+04        1    1.80e-03    9.25e-03
   5  1.928009e+07    1.67e+07    2.72e+07   6.33e+01   5.62e-01  4.61e+04        1    1.84e-03    1.11e-02
   6  2.384234e+07   -4.56e+06    0.00e+00   5.19e+01  -4.06e-01  2.30e+04        1    3.19e-05    1.12e-02
   7  2.384147e+07   -4.56e+06    0.00e+00   5.19e+01  -4.06e-01  5.76e+03        1    2.69e-05    1.12e-02
   8  2.383631e+07   -4.56e+06    0.00e+00   5.19e+01  -4.05e-01  7.20e+02        1    2.69e-05    1.12e-02
   9  2.378823e+07   -4.51e+06    0.00e+00   5.18e+01  -4.01e-01  4.50e+01        1    3.41e-05    1.13e-02
  10  2.300490e+07   -3.72e+06    0.00e+00   5.05e+01  -3.32e-01  1.41e+00        1    2.60e-05    1.13e-02
  11  1.481854e+07    4.46e+06    1.14e+07   2.83e+01   4.97e-01  1.41e+00        1    1.81e-03    1.31e-02
  12  1.463062e+07    1.88e+05    1.48e+07   1.16e+01   1.44e-01  1.03e+00        1    1.78e-03    1.49e-02
  13  1.442202e+07    2.09e+05    1.06e+07   7.27e+00   2.99e-01  9.70e-01        1    1.91e-03    1.69e-02
  14  1.436610e+07    5.59e+04    6.84e+06   3.29e+00   3.17e-01  9.25e-01        1    1.86e-03    1.88e-02
  15  1.435272e+07    1.34e+04    3.51e+06   1.38e+00   3.28e-01  8.89e-01        1    1.76e-03    2.06e-02
  16  1.434972e+07    3.00e+03    1.71e+06   5.74e-01   3.44e-01  8.62e-01        1    1.74e-03    2.23e-02
  17  1.434910e+07    6.14e+02    7.42e+05   2.26e-01   3.61e-01  8.44e-01        1    1.85e-03    2.42e-02
  18  1.434899e+07    1.10e+02    3.09e+05   8.87e-02   3.70e-01  8.30e-01        1    1.79e-03    2.60e-02
  19  1.434897e+07    1.85e+01    1.22e+05   3.40e-02   3.80e-01  8.19e-01        1    1.77e-03    2.78e-02
Ceres Solver Report: Iterations: 20, Initial cost: 2.057296e+10, Final cost: 1.434897e+07, Termination: CONVERGENCE
Final   deg: 41.9405	tx: 1245.66	ty: 506.794
